Part1_E,Part3_E,Part11_E
0.014,0.235,0.157
0.012,0.367,0.105
0.017,0.421,0.246
0.02,0.418,0.12
0.018,0.373,0.189
0.025,0.37,0.117
0.012,0.489,0.245
0.017,0.297,0.236
0.013,0.232,0.151
0.021,0.398,0.132
0.014,0.482,0.17
0.019,0.479,0.211
0.023,0.441,0.227
0.013,0.247,0.193
0.017,0.26,0.195
0.017,0.235,0.108
0.02,0.239,0.121
0.024,0.254,0.11
0.021,0.446,0.113
0.024,0.5,0.183
0.021,0.213,0.223
0.017,0.296,0.149
0.011,0.288,0.213
0.017,0.356,0.193
0.02,0.314,0.222
0.013,0.393,0.144
0.018,0.317,0.179
0.014,0.425,0.127
0.013,0.493,0.224
0.019,0.216,0.188
0.016,0.288,0.242
0.021,0.315,0.226
0.018,0.443,0.237
0.014,0.43,0.127
0.022,0.408,0.223
0.023,0.491,0.146
0.022,0.441,0.12
0.021,0.391,0.129
0.024,0.36,0.169
0.012,0.2,0.101
0.017,0.48,0.249
0.012,0.26,0.115
0.015,0.419,0.204
0.011,0.399,0.16
0.012,0.357,0.125
0.016,0.305,0.165
0.011,0.228,0.234
0.011,0.209,0.183
0.012,0.257,0.173
0.019,0.308,0.215
0.015,0.238,0.206
0.022,0.446,0.132
0.019,0.259,0.233
0.013,0.357,0.114
0.018,0.472,0.19
0.014,0.41,0.14
0.023,0.23,0.146
0.014,0.263,0.125
0.016,0.255,0.151
0.023,0.333,0.142
0.012,0.394,0.153
0.021,0.42,0.103
0.023,0.287,0.144
0.015,0.25,0.233
0.022,0.44,0.177
0.013,0.267,0.168
0.01,0.265,0.191
0.023,0.388,0.245
0.013,0.258,0.158
0.025,0.315,0.139
0.023,0.224,0.15
0.014,0.359,0.132
0.013,0.242,0.162
0.011,0.373,0.123
0.013,0.341,0.159
0.021,0.44,0.121
0.02,0.483,0.107
0.017,0.245,0.166
0.025,0.228,0.226
0.024,0.261,0.108
0.025,0.244,0.217
0.013,0.458,0.174
0.023,0.309,0.242
0.019,0.289,0.153
0.013,0.319,0.199
0.024,0.203,0.21
0.01,0.443,0.229
0.024,0.404,0.13
0.015,0.37,0.183
0.024,0.211,0.203
0.011,0.207,0.224
0.012,0.278,0.203
0.023,0.377,0.207
0.016,0.204,0.223
0.012,0.375,0.155
0.015,0.222,0.1
0.018,0.371,0.189
0.025,0.252,0.142
0.017,0.436,0.234
0.011,0.463,0.242
0.021,0.361,0.184
0.022,0.324,0.247
0.025,0.359,0.15
0.024,0.253,0.13
0.01,0.382,0.189
0.012,0.413,0.232
0.024,0.24,0.241
0.024,0.281,0.202
0.012,0.236,0.175
0.017,0.266,0.139
0.025,0.433,0.229
0.011,0.372,0.127
0.012,0.249,0.238
0.012,0.223,0.24
0.011,0.432,0.153
0.013,0.442,0.196
0.025,0.369,0.125
0.025,0.478,0.121
0.01,0.373,0.13
0.023,0.455,0.194
0.013,0.417,0.119
0.025,0.48,0.2
0.012,0.417,0.186
0.017,0.307,0.216
0.018,0.451,0.183
0.021,0.366,0.232
0.021,0.468,0.189
0.014,0.253,0.226
0.014,0.491,0.141
0.013,0.388,0.139
0.011,0.213,0.238
0.01,0.313,0.18
0.013,0.224,0.123
0.02,0.25,0.145
0.025,0.463,0.213
0.011,0.415,0.137
0.015,0.242,0.199
0.024,0.434,0.211
0.024,0.381,0.111
0.023,0.451,0.151
0.011,0.241,0.149
0.015,0.329,0.244
0.012,0.291,0.143
0.025,0.366,0.226
0.021,0.241,0.206
0.014,0.272,0.238
0.021,0.325,0.104
0.024,0.214,0.222
0.019,0.328,0.132
0.016,0.267,0.219
0.01,0.255,0.239
0.022,0.261,0.223
0.016,0.217,0.158
0.02,0.243,0.241
0.013,0.279,0.222
0.015,0.495,0.137
0.013,0.322,0.233
0.02,0.201,0.129
0.023,0.411,0.199
0.018,0.273,0.241
0.015,0.233,0.178
0.012,0.418,0.149
0.012,0.222,0.148
